Notes,author_id,author_name,canonical_key,extra,last_name,first_name,middle_name,replacement
,275,"Dean, D.",dean|d,NA,Dean,D,NA,
,279,"Dee, Seth",dee|s,NA,Dee,Seth,NA,
,278,"Deering, Chad D.",deering|cd,NA,Deering,Chad,D,
,280,"DeGraff, James M.",degraff|jm,NA,DeGraff,James,M,
,284,"Denham, Andrew T.",denham|at,NA,Denham,Andrew,T,
,292,"Dicken, C.",dicken|c,NA,Dicken,C,NA,
,294,"Dietsch, Craig",dietsch|c,NA,Dietsch,Craig,NA,
,1333,"Doar,William",NA,NA,"Doar,William",NA,NA,
,305,"Drenth, Benjamin J.",drenth|bj,NA,Drenth,Benjamin,J,
,315,"Earney, Tait E.",earney|te,NA,Earney,Tait,E,
,316,"Eastman, K A",eastman|k,NA,Eastman,K,A,
,318,"Eble, Cortland",eble|c,NA,Eble,Cortland,NA,
,327,"Emond, A.",emond|a,NA,Emond,A,NA,
,328,"Emsbo, Poul",emsbo|p,NA,Emsbo,Poul,NA,
,331,"Erber, Nathan",erber|n,NA,Erber,Nathan,NA,
,340,"Essig, Espree E.",essig|ee,NA,Essig,Espree,E,
,359,"Fessenden, Serena N.",fessenden|sn,NA,Fessenden,Serena,N,
,362,"Fikru, M G",fikru|m,NA,Fikru,M,G,
,1339,"Fitzpatrick, W. A.",NA,NA,Fitzpatrick,W,A,
,372,"Foley, N.",foley|n,NA,Foley,N,NA,
,375,"Fortier, Steven M.",fortier|sm,NA,Fortier,Steven,M,
,383,"Frost, T.",frost|t,NA,Frost,T,NA,
,384,"Frus, R.",frus|r,NA,Frus,R,NA,
,385,"Funk, J A",funk|j,NA,Funk,J,A,
,386,"Fusso, L A",fusso|l,NA,Fusso,L,A,
,391,"Gannon, Ian M.",gannon|im,NA,Gannon,Ian,M,
,402,"Gavel, Michelle M.",gavel|mm,NA,Gavel,Michelle,M,
,421,"Glen, Jonathan M G",glen|jm,NA,Glen,Jonathan,M G,
,1342,"Gnesda, William R",NA,NA,Gnesda,William,R,
,432,"Graham, Garth E.",graham|ge,NA,Graham,Garth,E,
,434,"Grauch, V. J. S.",grauch|vjs,NA,Grauch,V,J S,
,445,"Guzman, M A",guzman|m,NA,Guzman,M,A,
,454,"Hall, S.",hall|s,NA,Hall,S,NA,
,458,"Hammarstrom, Jane M.",hammarstrom|jm,NA,Hammarstrom,Jane,M,
,462,"Hanna, Heather",hanna|h,NA,Hanna,Heather,NA,
,1332,"Harris, M. Scott",NA,NA,Harris,M,Scott,
,474,"Harvey, David A.",harvey|da,NA,Harvey,David,A,
,476,"Hawbaker, T.",hawbaker|t,NA,Hawbaker,T,NA,
,478,"Hayes, S.",hayes|s,NA,Hayes,S,NA,
,489,"Heizler, Matthew T.",heizler|mt,NA,Heizler,Matthew,T,
,496,"Hickman, John B.",hickman|jb,NA,Hickman,John,B,
,503,"Hoefen, T M",hoefen|t,NA,Hoefen,T,M,
,505,"Hofstra, A H",hofstra|a,NA,Hofstra,A,H,
,507,"Holland, M. S P",holland|ms,NA,Holland,M,S P,
,508,"Holm-Denoma, C S",holmdenoma|c,NA,Holm-Denoma,C,S,
,516,"Horton, J.",horton|j,NA,Horton,J,NA,595
"Fixed author_name to have the right order (Last, First Middle Jr). This will replace ID=516 which only has the first initial",595,"Horton, J. W. Jr",jr|jwh,Jr,Horton,J,W,
,517,"Horton, R J",horton|r,NA,Horton,R,J,
