"","pub_id","author_name","author_id"
"1108",189,"Sitterley, Kurban A.","1081"
"1109",189,"Evans, Anna","344"
"1110",189,"Thirumaran, Kiran","1149"
"1111",189,"Malhotra, Mini","732"
"1112",189,"Stokes-Draut, Jennifer R.","1116"
"1113",189,"Chellam, Shankararaman","197"
"1114",189,"Gonzalez, Susana Garcia","1412"
"1115",192,"Soulié, J P","1097"
"1116",192,"Troeye, B. Van","1174"
"1117",192,"Sankaran, Kiroubanand","1413"
"1118",192,"Lesniewska, Alicja","1414"
"1119",192,"Pedreira, Olalla Varela","1415"
"1120",192,"Oprins, Herman","1416"
"1121",192,"Delie, Gilles","1417"
"1122",192,"Fleischmann, Claudia","1418"
"1123",192,"Boakes, Lizzie","1419"
"1124",192,"Rolin, Cedric","1420"
"1125",192,"Ragnarsson, Lars-Ake","1421"
"1126",192,"Croes, Kristof","1422"
"1127",192,"Park, Seongho","1423"
"1128",192,"Swerts, Johan","1424"
"1129",192,"Pourtois, Geoffrey","1425"
"1130",192,"Tokei, Zsolt","1426"
"1131",192,"Adelmann, Christoph","1427"
"1132",193,"Steenstra, Philip James","1107"
"1133",193,"Strigul, N.","1120"
"1134",193,"Harrison, J.","470"
"1135",204,"Ireland, Robert","556"
"1136",204,"Scott, Sara","1428"
"1137",205,"Penaloza, I.","921"
"1138",205,"Tita, A.","1160"
"1139",205,"McNew, E.","779"
"1140",205,"Chu, P.","215"
"1141",209,"Geyin, M.","410"
"1142",209,"Maurer, B W","763"
"1143",209,"Christofferson, K.","212"
"1144",218,"Fitzgerald, Paul G.","367"
"1145",218,"Shorten, Chilisa M.","1429"
"1146",219,"Pompeani, D P","946"
"1147",219,"McLauchlan, K K","773"
"1148",219,"Chileen, B V","204"
"1149",219,"Calder, W. John","1430"
"1150",219,"Shuman, Bryan N.","1431"
"1151",219,"Higuera, Philip E.","1432"
"1152",222,"Bai, Y.","71"
"1153",222,"Li, M.","699"
"1154",222,"Jafta, C J","560"
"1155",222,"Dai, Q.","260"
"1156",222,"Essehli, R.","339"
"1157",222,"Polzin, B J","945"
"1158",222,"Belharouak, Ilias","1433"
"1159",224,"Hotchkiss, E.","518"
"1160",224,"Urdaneta, M P","1184"
"1161",224,"Bazilian, M D","88"
"1162",226,"Burpee, B T","175"
"1163",226,"Saros, J E","1028"
"1164",226,"Nanus, L.","860"
"1165",226,"Baron, J.","81"
"1166",226,"Brahney, J.","146"
"1167",226,"Christianson, Kyle R.","1434"
"1168",226,"Ganz, Taylor","1435"
"1169",226,"Heard, Andi","1436"
"1170",226,"Hundey, Beth","1437"
"1171",226,"Koinig, Karin A.","1438"
