"","pub_id","author_name","author_id"
"596",127,"Drenth, Benjamin J.","305"
"597",128,"Erber, Nathan","331"
"598",128,"DeGraff, James M.","280"
"599",128,"Gannon, Ian M.","391"
"600",128,"Deering, Chad D.","278"
"601",128,"Smirnov, Aleksey V.","1085"
"602",128,"Ahrendt, Gabriel C.","12"
"603",128,"Essig, Espree E.","340"
"604",128,"Lizzadro-McPherson, Daniel","697"
"605",128,"Mroz, Thomas","840"
"606",128,"Asiala, Carol","56"
"607",129,"Kreiner, Douglas C.","655"
"608",129,"Hammarstrom, Jane M.","458"
"609",129,"Day, Warren C.","270"
"610",130,"Azain, Jaime S.","64"
"611",130,"Denham, Andrew T.","284"
"612",131,"Darin, Michael H.","261"
"613",131,"Zuza, Andrew V.","1323"
"614",131,"Dee, Seth","279"
"615",131,"Johnsen, Racheal L.","580"
"616",132,"Magnin, B P","731"
"617",132,"Anderson, E.","35"
"618",133,"Shah, A. K.","1052"
"619",133,"Wang, C.","1211"
"620",134,"Anderson, E.","35"
"621",134,"Magnin, B P","731"
"622",134,"Funk, J A","385"
"623",134,"Attia, S.","59"
"624",134,"Guzman, M A","445"
"625",134,"Eastman, K A","316"
"626",135,"McCafferty, Anne E.","770"
"627",135,"Amaral, Chelsea Morgan","31"
"628",135,"Graham, Garth E.","432"
"629",136,"Meyer, J M","791"
"630",136,"Kokaly, R F","643"
"631",136,"Hoefen, T M","503"
"632",136,"Cox, E M","243"
"633",136,"Swayze, G A","1132"
"634",137,"Day, Warren C.","270"
"635",137,"Grauch, V. J. S.","434"
"636",138,"Murchek, Jacob T.","846"
"637",138,"Benjamin J Drenth, Ph.D","98"
"638",138,"Emond, A.","327"
