"","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name","check.accents"
"132",112,"Beyer, Rebecca","beyer|r",NA,"Beyer","Rebecca",NA,NA
"133",111,"Beyers, S.","beyers|s",NA,"Beyers","S",NA,NA
"134",1678,"Bharadwaj, Bishal",NA,NA,"Bharadwaj","Bishal",NA,NA
"135",113,"Bhaskar, A S","bhaskar|a",NA,"Bhaskar","A","S",NA
"136",114,"Bhattacharjee, Shubhadeep","bhattacharjee|s",NA,"Bhattacharjee","Shubhadeep",NA,NA
"137",115,"Bhuwalka, K.","bhuwalka|k",NA,"Bhuwalka","K",NA,NA
"138",117,"Biegel, J.","biegel|j",NA,"Biegel","J",NA,NA
"139",118,"Bilham, R.","bilham|r",NA,"Bilham","R",NA,NA
"140",119,"Binnemans, Koen","binnemans|k",NA,"Binnemans","Koen",NA,NA
"141",120,"Bird, Philip H.","bird|ph",NA,"Bird","Philip","H",NA
"142",1411,"Birke, Kai Peter",NA,NA,"Birke","Kai","Peter",NA
"143",881,"Bixby, Rebecca J.","nt|d",NA,"Bixby","Rebecca","J",NA
"144",121,"Bjarke, N R","bjarke|n",NA,"Bjarke","N","R",NA
"145",122,"Blackwell, Noel J S","blackwell|nj",NA,"Blackwell","Noel","J S",NA
"146",578,"Blake, Johanna M.","jm|b",NA,"Blake","Johanna","M",NA
"147",1346,"Blakely, Richard J",NA,NA,"Blakely","Richard","J",NA
"148",124,"Blankenship, L N","blankenship|l",NA,"Blankenship","L","N",NA
"149",125,"Blasch, K W","blasch|k",NA,"Blasch","K","W",NA
"150",126,"Bleeker, W.","bleeker|w",NA,"Bleeker","W",NA,NA
"151",1351,"Block, Amy Radakovich",NA,NA,"Block","Amy","Radakovich",NA
"152",127,"Blome, C D","blome|c",NA,"Blome","C","D",NA
"153",128,"Blondes, M S","blondes|m",NA,"Blondes","M","S",NA
"154",129,"Bloss, B R","bloss|b",NA,"Bloss","B","R",NA
"155",1419,"Boakes, Lizzie",NA,NA,"Boakes","Lizzie",NA,NA
"156",130,"Board, D I","board|d",NA,"Board","D","I",NA
"157",131,"Bode, A.","bode|a",NA,"Bode","A",NA,NA
"158",132,"Bodnar, R J","bodnar|r",NA,"Bodnar","R","J",NA
"159",133,"Boozarjomehry, R B","boozarjomehry|r",NA,"Boozarjomehry","R","B",NA
"160",134,"Borchardt, J S","borchardt|j",NA,"Borchardt","J","S",NA
"161",135,"Bourdeau, J E","bourdeau|j",NA,"Bourdeau","J","E",NA
"162",136,"Bouton, Anthony","bouton|a",NA,"Bouton","Anthony",NA,NA
"163",137,"Boutt, D F","boutt|d",NA,"Boutt","D","F",NA
"164",1616,"Bowker, Matthew A.",NA,NA,"Bowker","Matthew","A",NA
"165",139,"Bowman, R L","bowman|r",NA,"Bowman","R","L",NA
"166",141,"Box, S E","box|s",NA,"Box","S","E",NA
"167",140,"Boxleiter, A.","boxleiter|a",NA,"Boxleiter","A",NA,NA
"168",142,"Boyce, A J","boyce|a",NA,"Boyce","A","J",NA
"169",143,"Boyd, O S","boyd|o",NA,"Boyd","O","S",NA
"170",144,"Bradford, J.","bradford|j",NA,"Bradford","J",NA,NA
"171",145,"Bradley, D C","bradley|d",NA,"Bradley","D","C",NA
"172",146,"Brahney, J.","brahney|j",NA,"Brahney","J",NA,NA
"173",147,"Brake, S S","brake|s",NA,"Brake","S","S",NA
"174",150,"Brantley, S L","brantley|s",NA,"Brantley","S","L",NA
"175",1615,"Brayard, Arnaud",NA,NA,"Brayard","Arnaud",NA,NA
"176",151,"Breasley, C M","breasley|c",NA,"Breasley","C","M",NA
"177",152,"Brennan, D T","brennan|d",NA,"Brennan","D","T",NA
"178",153,"Brennan, S.","brennan|s",NA,"Brennan","S",NA,NA
"179",154,"Brewer, S K","brewer|s",NA,"Brewer","S","K",NA
"180",155,"Brickey, T A","brickey|t",NA,"Brickey","T","A",NA
"181",156,"Briggs, M A","briggs|m",NA,"Briggs","M","A",NA
"182",157,"Briscoe, Seattle","briscoe|s",NA,"Briscoe","Seattle",NA,NA
"183",158,"Britt, A F","britt|a",NA,"Britt","A","F",NA
